Event,Driver,Trip,Starttime,Endtime,Speedingtime
19681,100,88,146940,166150,18550
19682,100,88,175940,176800,870
19683,100,88,188840,195230,6390
19684,100,90,107190,110320,3130
19685,100,90,116850,117000,140
19686,100,90,122540,130290,6800
19687,100,90,134910,135270,350
19688,100,90,136750,165660,27180
19689,100,90,173080,173930,860
19690,100,90,178030,179910,1890
19691,100,90,183000,191750,8750
19692,100,90,195050,200420,5110
19693,100,107,55140,57480,1490
19694,100,107,97390,98340,670
19695,100,107,116670,117380,480
19696,100,108,38210,38220,20
19697,100,112,50170,69480,18860
19698,100,121,68510,68970,460
19699,100,121,74770,76220,1460
19700,100,121,79260,80670,1360
19701,100,122,61650,67600,4740
19702,100,122,68920,70050,1140
19703,100,136,49000,68390,19250
19704,100,136,70210,77420,7040
19705,100,138,96580,104190,7620
19706,100,138,105860,121870,15340
19707,100,138,217830,247220,29400
19708,100,138,254230,271990,16920
19709,100,153,49420,49430,20
19710,100,153,51610,56490,4890
19711,100,154,41610,41930,330
