Driver,Trip,Distance,SecInMotion
4,252,2305.844,140.9
4,252,16578.38,531.9
4,252,17113.11,775.1
4,252,4019.629,126.7
4,252,182.4386,7.9
4,252,4279.487,135.2
4,252,27923.41,854.9
4,252,3407.43,96.6
4,252,4049.624,129.4
4,279,5942.211,181.9
4,279,4429.636,129.6
4,279,5565.664,162.4
4,279,3461.196,92.3
4,279,12294.12,343.3
4,280,16697.41,502.3
4,280,4067.627,119.8
4,280,1794.291,64
4,291,32231.04,953.3
4,291,8528.125,268.9
4,291,14605.07,406.9
4,291,1622.966,42.9
4,291,2515.892,69.1
4,291,51.99806,1.5
4,291,30.87278,0.9
4,291,5737.252,160.2
4,291,2333.428,84.2
4,291,3573.326,113.1
4,292,5481.9,193.8
4,292,6201.22,201.3
4,292,83.77834,2.6
4,292,4569.741,142.6
4,292,13813.08,422.1
4,292,3321.47,103.2
4,292,1522.952,47.2
4,292,4385.798,140.3
4,292,18429.3,594.4
4,292,4107.947,132.5
4,292,4029.811,130.4
4,292,1170.422,40.1
4,292,401.1581,17
4,294,5940.788,177.3
4,294,8042.75,246.5
4,294,1832.857,55.5
4,294,22795.44,638.9
4,294,8538.458,267.7
4,294,16399.16,482.3
4,294,2514.212,71.6
4,294,40.00389,1.2
4,294,4411.786,128.1
4,294,1048.155,32.3
4,294,2340.738,74.3
4,294,3160.535,92.2
4,294,381.9884,14.1
4,296,5455.571,173.4
4,296,6232.253,188.1
4,296,328.4367,9.9
4,296,4514.582,140.5
4,296,13870.69,417.9
4,296,3281.313,95.5
4,296,6055.566,176.9
4,296,5321.446,162.4
4,296,21349.74,611.2
4,296,1174.177,39.4
4,296,3016.563,105.1
4,296,77.93806,2.7
5,1,7790.292,272.3
5,1,5686.901,190.2
5,6,5814.938,191.5
5,6,1932.996,68.4
5,7,2491.787,76
5,7,5697.16,186.8
5,9,5721.674,156.2
5,9,8021.084,243
5,9,7.150834,0.2
5,9,7.166945,0.2
5,9,1589.761,47.2
5,9,15584.44,473.8
5,9,53.89973,2.2
5,14,12118.75,369.9
5,14,4017.848,121.3
5,14,669.7451,20.2
5,14,6557.424,201
5,14,2353.74,80.6
5,14,5668.157,173.6
5,15,5822.549,177.8
5,15,2010.685,63.8
5,15,2391.767,74.3
5,18,1113.411,40.9
5,18,157.1203,5.4
5,18,4162.691,140.1
