Driver,Trip,TripTime,Distance
7,136,17510,5668.079
7,142,15930,4851.672
7,166,18290,5817.128
7,184,16730,4902.742
7,184,31550,9492.63
7,188,59680,19381.07
7,189,28850,8231.728
7,190,32680,10723.2
7,190,118690,29320.14
7,227,9660,2865.701
7,229,20880,6653.551
7,229,29990,9491.621
7,236,16520,5504.629
7,236,31090,9710.408
7,237,30010,9378.363
7,237,14710,4877.059
7,245,6120,1885.699
7,247,2560,647.4221
7,248,25920,5805.831
7,300,10320,2878.141
7,302,10740,2971.962
8,1,53370,17875.69
8,2,24320,5482.004
8,8,15280,4536.638
8,8,68690,21259.46
8,11,16960,5146.553
8,12,21730,5486.605
8,22,17390,5145.463
8,24,8120,1892.953
8,45,16640,5141.902
8,46,18130,5470.839
8,47,15880,5146.635
8,48,23260,5479.193
8,50,55230,16347.23
8,50,11170,3467.885
8,51,33610,10707.62
8,51,54480,16378.58
8,55,16630,5143.827
8,56,22610,5474.538
8,73,64460,21497.63
8,73,2050,552.9023
8,73,16870,5219.289
8,73,17270,5169.523
8,73,9870,2886.461
8,74,10110,2758.425
8,74,18760,5226.608
8,74,10460,3022.141
8,74,24760,7910.801
8,74,68840,21259.4
8,93,20590,5821.816
8,94,3390,723.9141
8,138,31750,9365.207
8,139,3490,729.0732
8,155,30360,9351.765
8,158,54750,18043.21
8,177,49490,16365.4
8,177,86080,30786.85
8,177,24950,7944.02
8,177,66440,22627.57
8,177,57850,16404.66
8,183,43940,12074.69
8,199,21480,7364.647
8,200,27680,7629.668
8,240,13750,4261.729
8,240,6500,1999.377
8,240,11310,3476.426
8,241,10900,3251.637
8,241,24870,6124.472
8,241,11130,1972.554
8,258,37980,11566.47
8,259,60120,19061.61
8,260,30330,7631.541
9,7,9000,2471.994
9,9,8420,2516.105
9,11,32980,10175.51
9,23,66070,10608.68
9,26,95800,22573.46
9,27,73530,24104.03
9,27,54100,15042.05
9,27,231080,71809.31
9,28,410470,132734.2
9,29,16400,5165.511
9,29,33870,10466.33
9,29,14750,4508.406
9,30,35310,9985.107
9,30,16870,5212.026
9,36,32580,10181.16
9,39,9150,2521.383
9,40,33640,10182.25
9,42,18110,5755.206
9,42,87350,28250.34
9,42,15670,4884.773
9,43,17690,5313.055
9,43,154420,38855.62
9,43,30640,9269.352
9,44,6480,2135.383
9,47,8760,2472.013
9,52,17020,5169.646
9,52,33340,8529.551
9,53,32660,9507.604
9,53,7470,2038.79
9,53,60,14.35156
9,54,8110,2515.664
9,55,17000,5170.813
9,55,26510,8521.634
9,58,31860,9500.409
9,58,17320,5210.132
9,59,17480,5174.151
9,59,32370,8535.449
9,60,29610,9514.823
9,60,15990,5212.39
9,63,19350,5175.951
9,63,30280,8534.265
9,64,36970,9528.693
9,64,18800,5224.696
9,65,36080,10600.4
9,67,9160,2524.946
9,68,31770,5177.883
9,68,35290,8544.522
9,69,28990,9518.119
9,69,16920,5215.065
9,70,15990,5170.307
9,70,28530,8534.345
9,71,16650,5810.415
9,73,15990,5166.556
9,73,26060,8525.876
9,75,28840,8955.771
